Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,internal_id (metadata),created_by (metadata),location_id (metadata),user_id (metadata)
price_1RjQwtDffY6JnI6OrWouO5Tz,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Save $229.00),2025-07-10 20:20,2141.00,usd,month,6,licensed,,per_unit,,unspecified,68479037924d71a1dd0120e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQw7DffY6JnI6O8eaJP2nI,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Save $100.00),2025-07-10 20:19,2141.00,usd,month,6,licensed,,per_unit,,unspecified,68479037924d71a1dd0120e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQuCDffY6JnI6Ov3WgHJLG,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,3 Months (Paid in Full),2025-07-10 20:17,792.00,usd,month,3,licensed,,per_unit,,unspecified,6847997cd4deb89e9e3a82e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQsgDffY6JnI6OA8jfwFQB,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,Monthly,2025-07-10 20:15,277.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb86af03a82eb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQrdDffY6JnI6OJBmFQoaQ,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,+ Skills Academy,2025-07-10 20:14,277.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb86af03a82eb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQEDDffY6JnI6Orb8rZp5J,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,Friday Night Hoops (The League),2025-07-10 19:33,171.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb887263a82e7,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQDRDffY6JnI6Os3yzCLhF,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,3 Months,2025-07-10 19:33,792.00,usd,month,3,licensed,,per_unit,,unspecified,6847997cd4deb89e9e3a82e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ9xDffY6JnI6OgeUqyfpS,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,Monthly,2025-07-10 19:29,171.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb887263a82e7,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ9pDffY6JnI6OReX1y7Zd,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,+ Skills Academy Bundle (Save $107.00),2025-07-10 19:29,277.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb86af03a82eb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ9bDffY6JnI6OAULmXjUN,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,+ Skills Academy (Save $107.00),2025-07-10 19:29,277.00,usd,month,1,licensed,,per_unit,,unspecified,6847997cd4deb86af03a82eb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1RjQ7mDffY6JnI6OeDUOSz68,prod_STE50pty4hV8A0,Skills Academy,,,+ Friday Night Hoops Bundle (Save $107.00),2025-07-10 19:27,277.00,usd,month,1,licensed,,per_unit,,unspecified,68479b37b174c9624353fcf3,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RjQ7NDffY6JnI6O9txSbrmD,prod_STE50pty4hV8A0,Skills Academy,,,+ Friday Night Hoops (Save $107.00),2025-07-10 19:26,277.00,usd,month,1,licensed,,per_unit,,unspecified,68479b37b174c9624353fcf3,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1RjQ79DffY6JnI6OGplR6plZ,prod_STE50pty4hV8A0,Skills Academy,,,+ Friday Night Hoops (Save $107.00),2025-07-10 19:26,277.00,usd,month,1,licensed,,per_unit,,unspecified,68479b37b174c9624353fcf3,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
